# a Fx[N] Fy[N] Fz[N] Nx[Nm] Ny[Nm] Nz[Nm]
2.115 -1.19455e-13 -7.10565e-30 8.20266e-14 -7.01782e-37 4.73589e-23 -2.6714e-36
2.1155 -1.20416e-13 5.43421e-30 8.1771e-14 6.76822e-36 4.68855e-23 3.20972e-36
2.116 -1.21385e-13 -9.06476e-30 8.15447e-14 7.4934e-37 4.64416e-23 -5.7118e-36
2.1165 -1.22362e-13 5.74042e-30 8.13474e-14 5.25092e-36 4.60275e-23 -1.2207e-36
2.117 -1.23346e-13 -4.63204e-30 8.11792e-14 3.24683e-36 4.5644e-23 -4.2719e-36
2.1175 -1.2434e-13 8.07424e-30 8.10404e-14 -6.17207e-36 4.52922e-23 -4.30115e-36
2.118 -1.25343e-13 -4.52825e-30 8.09319e-14 -1.59231e-36 4.49742e-23 -4.38178e-36
2.1185 -1.26356e-13 -5.76889e-30 8.0855e-14 3.8395e-36 4.4693e-23 3.70956e-36
2.119 -1.27381e-13 -1.9233e-30 8.08118e-14 7.67798e-36 4.44528e-23 5.44428e-36
2.1195 -1.28419e-13 5.95843e-30 8.08055e-14 1.12324e-35 4.42598e-23 -6.07791e-36
2.12 -1.29472e-13 1.40251e-29 8.08406e-14 -6.08363e-37 4.41226e-23 -2.69422e-36
2.1205 -1.30542e-13 1.28104e-29 8.09239e-14 2.79402e-37 4.40539e-23 -1.91343e-36
2.121 -1.31631e-13 1.49849e-29 8.10653e-14 -3.84067e-36 4.40719e-23 -4.56625e-36
2.1215 -1.32743e-13 -1.79568e-30 8.12797e-14 3.19036e-36 4.42041e-23 -2.33624e-36
2.122 -1.33883e-13 6.04512e-31 8.15897e-14 -2.69637e-36 4.44917e-23 1.19813e-36
2.1225 -1.35057e-13 1.48832e-29 8.20308e-14 9.98093e-36 4.49994e-23 6.18636e-36
2.123 -1.3627e-13 2.87753e-30 8.26598e-14 2.73773e-36 4.58307e-23 -3.83747e-36
2.1235 -1.37531e-13 2.25156e-30 8.35702e-14 -3.89583e-36 4.71557e-23 -2.3681e-36
2.124 -1.38842e-13 2.33619e-29 8.49178e-14 -8.79149e-36 4.92575e-23 -4.08278e-36
